case,member,candidate,depth,M_kipft,V_kip,live_deflection_in,total_deflection_in,wood_sustained_screen_in,flexural_screen_ratio,shear_screen_ratio,passes_limited_screen
storage125,E-rail,LVL 5.25 x 16,16,12.03920911061682,11.393293550672647,0.020321375655481668,0.02839498844877011,0.04101282717684273,0.2866203330541013,0.7138655106937748,True
storage125,S-header,LVL 5.25 x 16,16,3.2637006866313882,1.6271675364436,0.0014046516830726148,0.035925699590519174,0.045590590103427364,0.07769970346027662,0.10195285316062658,True
storage125,N-header,LVL 5.25 x 16,16,9.893445343814568,4.832473544142035,0.0672011598582277,0.10644447406647652,0.15148650315208456,0.23553562143845808,0.30278656291616757,True
storage125,W-rail,LVL 5.25 x 16,16,0.17698680960669264,0.11854387884658064,0.0,0.0007703011989002213,0.001155451798350332,0.004213567340641868,0.007427561331239388,True
storage125,B1,LVL 5.25 x 18,18,52.00720378615216,10.195211853130987,0.5358960164070165,0.892545157375746,1.2590337776550973,0.994086648385093,0.5678202090298516,False
storage125,B2,LVL 5.25 x 18,18,72.62925851498892,14.193081789772606,0.8932981406570298,1.2478793260004735,1.802760570492615,1.3882649116983343,0.7904807457406074,False
storage125,E-rail,LVL 5.25 x 18,18,12.208625915549991,11.390338371912845,0.017290616099417445,0.02422025310261245,0.03498743907365865,0.23336059496065462,0.6343825325487521,True
storage125,S-header,LVL 5.25 x 18,18,3.2624578415170737,1.642676153783601,0.0010624161401188899,0.027217835078730844,0.034658844153287516,0.062359933722007245,0.09148850759028689,True
storage125,N-header,LVL 5.25 x 18,18,9.911701305159268,4.843385339192665,0.050128339709174366,0.07979148887185214,0.11358904476949755,0.1894562524598465,0.26975134164258785,True
storage125,W-rail,LVL 5.25 x 18,18,0.19605545076805636,0.13328858610078204,0.0,0.0006984350583295766,0.0010476525874943648,0.003747482882429843,0.007423480150419495,True
storage125,B1,LVL 5.25 x 20,20,52.17429357481358,10.227441809727605,0.39731306433846836,0.6638670933313942,0.9366488325937384,0.8194554572085531,0.5126537247983761,True
storage125,B2,LVL 5.25 x 20,20,72.79634830364743,14.225311746369028,0.662266626987444,0.927283299990665,1.339725055262115,1.1433478212166024,0.7130482078380466,False
storage125,E-rail,LVL 5.25 x 20,20,12.3770132748452,11.390727137703855,0.015058241569667865,0.02114672485659338,0.030551162281237398,0.19439479439182505,0.5709637663009451,True
storage125,S-header,LVL 5.25 x 20,20,3.343254142781156,1.6584963543954037,0.0008354290125074342,0.02144681946023255,0.027400055383278766,0.05250953418676758,0.083132649343128,True
storage125,N-header,LVL 5.25 x 20,20,10.050099415198344,4.85320030416797,0.038914234748061535,0.062244656604283986,0.08863587167495106,0.15784801761548714,0.24326818567257993,True
storage125,W-rail,LVL 5.25 x 20,20,0.2141713222415353,0.14801167618780928,0.0,0.0006467318629971954,0.0009700977944957931,0.00336379942618178,0.007419131638486682,True
storage125,B1,LVL 7 x 9.5,9.5,51.561669461806645,10.109265302215428,2.5909142725806023,4.278099337462584,6.031415211598084,2.5112986252744403,0.8001001426367573,False
storage125,B2,LVL 7 x 9.5,9.5,72.18368574533632,14.107135238861225,4.319379301511425,5.996653171359114,8.661101038167454,3.5156889346606834,1.116512484278688,False
storage125,E-rail,LVL 7 x 9.5,9.5,11.553680534094948,11.472312390409208,0.03506695512594274,0.04883608352628439,0.07050983253419289,0.5627192126435091,0.9079788199769853,True
storage125,S-header,LVL 7 x 9.5,9.5,3.358712215917692,1.6200841831841581,0.004075665354848924,0.10653979634345527,0.1343624837457866,0.163585265150781,0.12822193772727805,True
storage125,N-header,LVL 7 x 9.5,9.5,10.2931942344043,4.8266509418571735,0.20386872949336912,0.3203245396703513,0.4556219504209253,0.5013275326488351,0.38200640616202397,True
storage125,W-rail,LVL 7 x 9.5,9.5,0.1456600704046328,0.0939841456720857,0.0,0.001394179081546081,0.002091268622319122,0.007094338456893626,0.007438396966528351,True
storage125,B1,LVL 7 x 11.875,11.875,51.82619995456621,10.160296066813197,1.342451615255381,2.2280826231089392,3.1422604847693694,1.6154768120749994,0.6433111874515677,False
storage125,B2,LVL 7 x 11.875,11.875,72.44824457724822,14.158166003453148,2.2379742024684193,3.1184596549489805,4.50469413295006,2.258287493443188,0.8964410607647422,False
storage125,E-rail,LVL 7 x 11.875,11.875,11.750898336179786,11.477695745813685,0.023894195067422772,0.03339408825684296,0.04822764548753063,0.36628778107966575,0.7267239095093746,True
storage125,S-header,LVL 7 x 11.875,11.875,3.3900028176330816,1.6484033291401101,0.002237399411858616,0.05921851122399266,0.07512124863037782,0.10566993045131885,0.10437061047187085,True
storage125,N-header,LVL 7 x 11.875,11.875,10.218627803066965,4.854409089473726,0.11020791928577413,0.17452167339726157,0.24835009459858115,0.3185253073069487,0.3073626649449134,True
storage125,W-rail,LVL 7 x 11.875,11.875,0.17989136833233532,0.11742542769812636,0.0,0.001047793547648752,0.0015716903214731282,0.005607401941259364,0.007434930127305192,True
storage125,B1,LVL 7 x 14,14,52.06290038242031,10.205955171998841,0.8297598513698066,1.3834845147211026,1.951692559319218,1.192327744313119,0.5481178932330205,False
storage125,B2,LVL 7 x 14,14,72.68495511127512,14.203825108641334,1.3832360949704037,1.9337736734675548,2.793733284037217,1.6646073871556772,0.762826267918439,False
storage125,E-rail,LVL 7 x 14,14,11.93694551258944,11.481922708801125,0.018494063675218442,0.02593405545045823,0.03746165503556137,0.2733760741808431,0.6166446137916823,True
storage125,S-header,LVL 7 x 14,14,3.408401669078879,1.6735703849227324,0.0014647608748533062,0.03910220517647197,0.04984566636652983,0.07805811516367474,0.08988025697759035,True
storage125,N-header,LVL 7 x 14,14,10.125263709740342,4.87737537874272,0.07108364127175665,0.11335099726653848,0.161368270098042,0.2318855221459514,0.2619428237778045,True
storage125,W-rail,LVL 7 x 14,14,0.2093664510069185,0.13837132509698333,0.0,0.0008746781869849435,0.0013120172804774153,0.004794842900227936,0.007431327878463121,True
storage125,B1,LVL 7 x 16,16,52.28568676730168,10.248928447463555,0.5635587706236298,0.9436792979125235,1.3316165919178595,0.9335833951495309,0.48162257741840014,False
storage125,B2,LVL 7 x 16,16,72.90774149615224,14.246798384106746,0.9394415921532883,1.3173927033742863,1.9034658854720286,1.3017990399856199,0.6694924052681742,False
