tilt,solar_kw,battery_kwh,annual_solar_kwh,august_kwh,annual_import_kwh,annual_export_kwh,annual_bill,first_year_saving,roof_fits_22pct_90pct,upfront,annual_equipment,annual_net_saving,npv
30,2.0,13.5,3229.6400000000003,299.6,7887.136434161849,0.0,3218.223940975514,1085.031519187156,True,29370.0,2469.538261815239,-1434.4620804509275,-20217.229043968593
30,2.5,13.5,4037.05,374.50000000000006,7117.46970266723,0.0,2847.696511333303,1455.5589488293667,True,30650.0,2566.7574071582526,-1178.2130452086367,-16605.669346161303
30,3.0,13.5,4844.460000000001,449.4000000000001,6361.052377053166,0.0,2438.5103562808245,1864.7451038818454,True,31930.0,2663.976552501267,-885.0851496139317,-12474.341034888166
30,3.5,13.5,5651.87,524.3000000000001,5611.760169683953,0.0,2029.2646349057322,2273.9908252569376,True,33210.0,2761.195697844281,-591.9004301568234,-8342.211851248308
30,4.0,13.5,6459.280000000001,599.2,4877.925358640701,10.869487272119919,1648.1788467605902,2655.0766134020796,True,34490.0,2858.414843187295,-325.57914797291687,-4588.694463390366
30,4.5,13.5,7266.6900000000005,674.1,4190.894798343472,69.64546363249056,1353.7119991294608,2949.543461033209,True,35770.0,2955.6339885303087,-141.88883142974328,-1999.773324711669
30,5.0,13.5,8074.1,749.0000000000001,3670.347629309576,310.83818293811163,1133.7563541298487,3169.499106032821,True,37050.0,3052.853133873323,-29.279188327716838,-412.65925722962186
30,5.5,13.5,8881.51,823.9000000000001,3272.2525095188303,686.2500149485425,963.3082051068343,3339.9472550558357,True,38330.0,3150.072279216337,36.10230611854058,508.82390114109626
30,6.0,13.5,9688.920000000002,898.8000000000002,2992.072136601188,1191.1591091374341,838.633436810996,3464.6220233516738,True,39610.0,3247.2914245593506,57.81784681746922,814.8815279734802
30,6.5,13.5,10496.33,973.7,2789.859484767746,1781.3868918637136,741.4405176868017,3561.814942475868,True,40890.0,3344.5105699023643,53.31681500731065,751.4442351510963
30,7.0,13.5,11303.74,1048.6000000000001,2629.9387810692324,2417.5792143287686,660.3399003147574,3642.9155598479124,True,42170.0,3441.729715245379,33.46437823570341,471.6450917911634
30,7.5,13.5,12111.15,1123.5000000000002,2501.082855656637,3087.5513204611034,645.2596456987412,3657.9958144639286,False,43450.0,3538.9488605883926,-49.368814177904824,-695.8013303147482
30,8.0,13.5,12918.560000000001,1198.4,2397.9472106870226,3785.38838758419,659.4763027545449,3643.779157408125,False,44730.0,3636.1680059314067,-160.15007530914227,-2257.146283654937
30,8.5,13.5,13725.97,1273.3000000000002,2317.6354983816054,4507.939448695938,680.1611333536446,3623.094326809025,False,46010.0,3733.3871512744204,-277.1017123725096,-3905.456173334226
30,2.0,27.0,3229.6400000000003,299.6,7887.13643416185,0.0,3215.0170375692333,1088.2384225934366,True,41120.0,3543.8415181243045,-2505.70608062496,-35315.282599129445
30,2.5,27.0,4037.05,374.50000000000006,7117.46970266723,0.0,2844.489607927022,1458.7658522356478,True,42400.0,3641.060663467318,-2249.457045382669,-31703.72290132215
30,3.0,27.0,4844.460000000001,449.4000000000001,6361.052377053167,0.0,2434.2542359062136,1869.0012242564562,True,43680.0,3738.2798088103323,-1955.328239239471,-27558.28781226299
30,3.5,27.0,5651.87,524.3000000000001,5611.760169683953,0.0,2019.4993153530497,2283.7561448096203,True,44960.0,3835.4989541533464,-1656.8879666055427,-23352.087153485125
30,4.0,27.0,6459.280000000001,599.2,4868.142820095793,0.0,1613.505554459316,2689.7499057033538,True,46240.0,3932.71809949636,-1366.8054859105991,-19263.680750989846
30,4.5,27.0,7266.6900000000005,674.1,4128.334765211247,0.1343157077965711,1288.6578917978193,3014.5975683648503,True,47520.0,4029.9372448393738,-1154.1331006880523,-16266.287942934758
