truss,stage,case,physical_member,maximum_compression_lb,maximum_tension_lb
T1,complete,strength_roof,T1 diagonal 9,3787.91139154904,0.0
T1,complete,strength_roof,T1 future hanger 1,0.0,484.0146517164654
T1,complete,strength_roof,T1 future hanger 2,0.0,1196.4020600104902
T1,complete,strength_roof,T1 future hanger 3,0.0,1468.0685977133128
T1,complete,strength_roof,T1 future hanger 4,0.0,1371.6791751036594
T1,complete,strength_roof,T1 future hanger 5,0.0,223.17936837099253
T1,complete,strength_roof,T1 top / segment 1,4150.243208098492,138.54555502836166
T1,complete,strength_HB0.25,T1 upper lower chord,960.5745558118296,3463.3686535477154
T1,complete,strength_HB0.25,T1 future floor beam,0.0,1107.0656435442454
T1,complete,strength_HB0.25,T1 vertical 1,0.0,1891.0590686707583
T1,complete,strength_HB0.25,T1 vertical 2,0.0,1645.9631837870859
T1,complete,strength_HB0.25,T1 vertical 3,61.92152817440737,0.0
T1,complete,strength_HB0.25,T1 vertical 4,0.0,1966.9684000896286
T1,complete,strength_HB0.25,T1 vertical 5,0.0,1141.5503476635593
T1,complete,strength_HB0.25,T1 diagonal 6,4979.057489679469,0.0
T1,complete,strength_HB0.25,T1 diagonal 7,0.0,2082.2020234733072
T1,complete,strength_HB0.25,T1 diagonal 8,0.0,1798.2165704304045
T1,complete,strength_HB0.25,T1 diagonal 9,5232.093439760661,0.0
T1,complete,strength_HB0.25,T1 future hanger 1,0.0,491.84261404547567
T1,complete,strength_HB0.25,T1 future hanger 2,0.0,1695.6142317377492
T1,complete,strength_HB0.25,T1 future hanger 3,0.0,2054.747498237835
T1,complete,strength_HB0.25,T1 future hanger 4,0.0,2018.2657173975051
T1,complete,strength_HB0.25,T1 future hanger 5,0.0,388.81031598726025
T1,complete,strength_HB0.25,T1 top / segment 1,5767.740201725602,70.57080645886741
T1,complete,strength_HB0.5,T1 upper lower chord,958.8482242266427,3461.45422577273
T1,complete,strength_HB0.5,T1 future floor beam,0.0,1115.7370188627644
T1,complete,strength_HB0.5,T1 vertical 1,0.0,1898.057391355003
T1,complete,strength_HB0.5,T1 vertical 2,0.0,1645.4562598685254
T1,complete,strength_HB0.5,T1 vertical 3,62.64744972945397,0.0
T1,complete,strength_HB0.5,T1 vertical 4,0.0,1983.173796283123
T1,complete,strength_HB0.5,T1 vertical 5,0.0,1152.1108496113193
T1,complete,strength_HB0.5,T1 diagonal 6,4990.1636166747385,0.0
T1,complete,strength_HB0.5,T1 diagonal 7,0.0,2096.865845495469
T1,complete,strength_HB0.5,T1 diagonal 8,0.0,1780.60121791896
T1,complete,strength_HB0.5,T1 diagonal 9,5239.022649974759,0.0
T1,complete,strength_HB0.5,T1 future hanger 1,0.0,494.2926650917517
T1,complete,strength_HB0.5,T1 future hanger 2,0.0,1695.704960187986
T1,complete,strength_HB0.5,T1 future hanger 3,0.0,2052.2054807765553
T1,complete,strength_HB0.5,T1 future hanger 4,0.0,2034.056129439362
T1,complete,strength_HB0.5,T1 future hanger 5,0.0,382.5717238021079
T1,complete,strength_HB0.5,T1 top / segment 1,5780.152621071133,79.35293908095495
T1,complete,strength_HB0.75,T1 upper lower chord,955.9694478662759,3457.4627414298157
T1,complete,strength_HB0.75,T1 future floor beam,0.0,1104.8494576149662
T1,complete,strength_HB0.75,T1 vertical 1,0.0,1895.8180291528884
T1,complete,strength_HB0.75,T1 vertical 2,0.0,1633.7376718043504
T1,complete,strength_HB0.75,T1 vertical 3,62.213928601663724,0.0
T1,complete,strength_HB0.75,T1 vertical 4,0.0,1982.6692819944778
T1,complete,strength_HB0.75,T1 vertical 5,0.0,1149.3647756873195
T1,complete,strength_HB0.75,T1 diagonal 6,4978.093189086759,0.0
T1,complete,strength_HB0.75,T1 diagonal 7,0.0,2101.8304533592895
T1,complete,strength_HB0.75,T1 diagonal 8,0.0,1778.1044411688326
T1,complete,strength_HB0.75,T1 diagonal 9,5235.95949058349,0.0
T1,complete,strength_HB0.75,T1 future hanger 1,0.0,500.8833007091328
T1,complete,strength_HB0.75,T1 future hanger 2,0.0,1683.5458186450871
T1,complete,strength_HB0.75,T1 future hanger 3,0.0,2054.2300292315144
T1,complete,strength_HB0.75,T1 future hanger 4,0.0,2033.424363692964
T1,complete,strength_HB0.75,T1 future hanger 5,0.0,379.94856876478264
T1,complete,strength_HB0.75,T1 top / segment 1,5771.327121662699,82.00532806295764
T1,complete,strength_HT0.25,T1 upper lower chord,1209.7012436383868,5133.089704956717
T1,complete,strength_HT0.25,T1 future floor beam,0.0,1271.0011532421913
T1,complete,strength_HT0.25,T1 vertical 1,0.0,2665.4192029249907
T1,complete,strength_HT0.25,T1 vertical 2,0.0,3268.274007793537
T1,complete,strength_HT0.25,T1 vertical 3,70.81299229075582,0.0
T1,complete,strength_HT0.25,T1 vertical 4,0.0,1819.536162865297
T1,complete,strength_HT0.25,T1 vertical 5,0.0,1241.019785156285
T1,complete,strength_HT0.25,T1 diagonal 6,7167.580086907525,0.0
T1,complete,strength_HT0.25,T1 diagonal 7,0.0,1474.449391198955
T1,complete,strength_HT0.25,T1 diagonal 8,0.0,2849.7914699679945
T1,complete,strength_HT0.25,T1 diagonal 9,6001.532506807034,0.0
T1,complete,strength_HT0.25,T1 future hanger 1,0.0,658.113623638261
T1,complete,strength_HT0.25,T1 future hanger 2,0.0,3390.331852557868
T1,complete,strength_HT0.25,T1 future hanger 3,0.0,2288.121777629257
T1,complete,strength_HT0.25,T1 future hanger 4,0.0,1878.4397821886319
T1,complete,strength_HT0.25,T1 future hanger 5,0.0,412.9386646674394
T1,complete,strength_HT0.25,T1 top / segment 1,7100.777090684106,251.9654046108608
T1,complete,strength_HT0.5,T1 upper lower chord,1260.107552551507,4685.423593750149
T1,complete,strength_HT0.5,T1 future floor beam,0.0,1352.9309568200997
T1,complete,strength_HT0.5,T1 vertical 1,0.0,2393.087027470107
T1,complete,strength_HT0.5,T1 vertical 2,0.0,1739.639672723975
T1,complete,strength_HT0.5,T1 vertical 3,34.85004438923749,0.0
T1,complete,strength_HT0.5,T1 vertical 4,0.0,2007.60768098391
T1,complete,strength_HT0.5,T1 vertical 5,0.0,1369.4306704125397
T1,complete,strength_HT0.5,T1 diagonal 6,6606.636241011853,0.0
T1,complete,strength_HT0.5,T1 diagonal 7,0.0,3552.8482566126268
T1,complete,strength_HT0.5,T1 diagonal 8,0.0,3427.979190009573
T1,complete,strength_HT0.5,T1 diagonal 9,6910.761048627813,0.0
T1,complete,strength_HT0.5,T1 future hanger 1,0.0,551.7313791234885
T1,complete,strength_HT0.5,T1 future hanger 2,0.0,1799.2703138725765
T1,complete,strength_HT0.5,T1 future hanger 3,0.0,3874.163663538707
T1,complete,strength_HT0.5,T1 future hanger 4,0.0,2070.343556676731
T1,complete,strength_HT0.5,T1 future hanger 5,0.0,408.3645262396691
T1,complete,strength_HT0.5,T1 top / segment 1,8323.010585422597,258.21333605284406
T1,complete,strength_HT0.75,T1 upper lower chord,1277.6462612607218,4813.712545529824
T1,complete,strength_HT0.75,T1 future floor beam,0.0,1360.9525250781098
T1,complete,strength_HT0.75,T1 vertical 1,0.0,2109.97462574016
T1,complete,strength_HT0.75,T1 vertical 2,0.0,1537.485372189669
T1,complete,strength_HT0.75,T1 vertical 3,70.79865199153892,0.0
T1,complete,strength_HT0.75,T1 vertical 4,0.0,3513.739750439677
T1,complete,strength_HT0.75,T1 vertical 5,0.0,1490.772397290845
T1,complete,strength_HT0.75,T1 diagonal 6,5679.988166104976,0.0
T1,complete,strength_HT0.75,T1 diagonal 7,0.0,2984.0014616968265
T1,complete,strength_HT0.75,T1 diagonal 8,0.0,1346.5531874654166
T1,complete,strength_HT0.75,T1 diagonal 9,7426.807597010396,0.0
T1,complete,strength_HT0.75,T1 future hanger 1,0.0,543.7716804750775
T1,complete,strength_HT0.75,T1 future hanger 2,0.0,1594.9901253332607
T1,complete,strength_HT0.75,T1 future hanger 3,0.0,2291.7014102909943
T1,complete,strength_HT0.75,T1 future hanger 4,0.0,3639.1623530826946
T1,complete,strength_HT0.75,T1 future hanger 5,0.0,456.2564363431806
T1,complete,strength_HT0.75,T1 top / segment 1,7087.15902397231,186.75449286301884
T1,complete,lateral_HX,T1 upper lower chord,68.31267869081842,443.4820185303663
T1,complete,lateral_HX,T1 future floor beam,0.0,125.17119912865758
T1,complete,lateral_HX,T1 vertical 1,0.0,252.31060291156453
T1,complete,lateral_HX,T1 vertical 2,0.0,109.81045621910401
T1,complete,lateral_HX,T1 vertical 3,42.429736392786644,0.0
T1,complete,lateral_HX,T1 vertical 4,0.0,83.86020012710878
T1,complete,lateral_HX,T1 vertical 5,2.4223392169150046,3.029535815924805
T1,complete,lateral_HX,T1 diagonal 6,565.848995719379,0.0
T1,complete,lateral_HX,T1 diagonal 7,0.0,248.42163131916368
T1,complete,lateral_HX,T1 diagonal 8,0.0,120.97460290859019
T1,complete,lateral_HX,T1 diagonal 9,407.0374489020867,0.0
T1,complete,lateral_HX,T1 future hanger 1,0.0,118.06640543596473
T1,complete,lateral_HX,T1 future hanger 2,0.0,70.57859851699155
T1,complete,lateral_HX,T1 future hanger 3,0.0,95.30836228589531
T1,complete,lateral_HX,T1 future hanger 4,0.0,40.927230143676276
T1,complete,lateral_HX,T1 future hanger 5,0.0,23.34653189365262
