case,group,Ncomp,Ntension,M,V,T,ratio
uplift sensitivity,B3,29.611187528644223,0.0,22184.058634006957,560.6809892419366,1039.5972927919456,0.023154762753821587
uplift sensitivity,O3,50.43955759040546,0.0,8120.362473225289,396.69613609230504,392.95875376121444,0.020974739398214686
uplift sensitivity,S2,503.25670304022293,0.0,2345.3474633829733,43.02526380828142,52.79033358425758,0.017161413600339407
uplift sensitivity,T1,745.3288920593574,573.2119549038449,3082.9469247714114,148.44143142648284,56.4049542537757,0.046101450940452406
lateral X sensitivity,N1,4471.5633552748695,0.0,35677.12382740724,649.0749681612423,395.57216844730567,0.24334997172009032
lateral X sensitivity,T-S,1024.6595340517233,536.367017880897,7025.957261736279,470.3635013209158,135.81370257856312,0.3734524705333498
lateral X sensitivity,S3,5867.4287292620365,0.0,38352.33616621679,674.6399537911924,1816.937338825573,0.27109914848245054
lateral X sensitivity,T-N,4758.543020485596,4121.438662722707,47783.39221513533,2577.0621934215624,12719.733779646882,0.3416789719315568
lateral X sensitivity,T-SO,223.6235269298777,0.0,77781.64618860425,1946.203145707489,36825.496017151876,0.08583813196147405
lateral X sensitivity,W2,2504.635359500668,0.0,27551.475649502856,226.50650309532273,201.52250031948668,0.1794279307502281
lateral X sensitivity,B-WO,1502.3575131666003,0.0,59674.74977622331,1866.471650806687,25098.33420223704,0.15148349564471755
lateral X sensitivity,T-E,6247.371457542705,6104.888565832755,42272.97287886973,2289.4925673737303,63336.656997280676,0.3136000266279655
lateral X sensitivity,W4,1804.2791421962145,0.0,27050.282934631345,387.01855982338094,734.6584790801822,0.17029751816764838
lateral X sensitivity,O2,0.0,978.6716639474034,81142.40412583124,2802.311126808632,395.73320027385597,0.36440130812446414
lateral X sensitivity,B2,0.0,325.8333550756797,209405.06047171136,3371.1531223503466,3788.5862806083755,0.21827730640203175
lateral X sensitivity,W3,3339.0499833686463,0.0,17510.265585031368,43.24350847421041,619.5983863889822,0.1296887248972861
lateral X sensitivity,T-W,1543.189051568996,2929.28950627387,56460.6581776353,3037.598562330785,24125.69292151834,0.307942121570386
lateral X sensitivity,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
lateral X sensitivity,W1,2490.126706028102,0.0,25212.768392816623,303.54634135877313,1503.6796067791288,0.16597197791589954
lateral X sensitivity,N2,9838.945260488188,0.0,46651.738307856715,827.4702948490985,405.1685598083256,0.3531805278038082
lateral X sensitivity,B3,376.7683839285746,0.0,86732.09455291076,1960.5939609280426,11703.797114857362,0.09157043875386998
lateral X sensitivity,O3,0.0,76.85563742090017,59458.635593399624,2654.5258351577613,7617.559269266484,0.15250020916291054
lateral X sensitivity,S2,3090.527210521435,0.0,34875.334867554986,639.721544534565,1259.1333035336029,0.2264084296997878
lateral X sensitivity,T1,3356.9314520432144,3106.8226441659726,24634.691523807,1083.7065052995165,1154.3605007911308,0.36738180601256615
lateral Y sensitivity,N1,4460.366960215477,0.0,23591.384046088315,242.67494559372864,1420.296356803138,0.17438504712322267
lateral Y sensitivity,T-S,481.30981871020305,496.7242989600345,3308.039239882845,226.33268956485398,124.0276412635913,0.1717300589059942
lateral Y sensitivity,S3,6475.068424981088,0.0,53816.88613928402,826.7167266666888,85.1688499280376,0.3646601924777514
lateral Y sensitivity,T-N,4112.0054030585525,3666.6901451342274,50299.86097023764,6235.400951108065,10740.0127383381,0.3624305854378998
lateral Y sensitivity,T-SO,160.52957735443488,0.0,48830.07968346551,1296.4672541178115,24811.49322961949,0.05772023596754776
lateral Y sensitivity,W2,3403.1119946578924,0.0,46782.7730139314,533.3539314514215,414.892677137979,0.29626741034000925
lateral Y sensitivity,B-WO,452.47944507631473,71.7667350335978,37063.77511441942,1311.117048672268,28748.369424631823,0.1300952171464823
lateral Y sensitivity,T-E,3737.0701703326486,6916.654005917571,52995.90845020009,2966.9858405536406,47426.44644021217,0.23873551801561235
lateral Y sensitivity,W4,3346.8343330662115,0.0,30332.23383381654,455.9766842391588,885.2351958656322,0.20202794295981424
lateral Y sensitivity,O2,295.2946365214884,0.0,78350.59434726769,3337.070011659386,952.1115964615641,0.3475011915407034
lateral Y sensitivity,B2,170.01309160888195,0.0,209405.0604717236,3371.1531223504085,2223.43246344839,0.2180790617087091
lateral Y sensitivity,W3,4121.412613870113,0.0,61203.19622849861,700.8820812051488,746.9877816737933,0.38487044465160714
lateral Y sensitivity,T-W,2037.3035477372223,3320.2862970920737,63809.63677403641,4948.706157344693,25114.29888203256,0.3197082252686843
lateral Y sensitivity,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
lateral Y sensitivity,W1,1424.8488391807139,0.0,29892.425216594973,501.2022357239188,59.08739803508931,0.1823025073223455
lateral Y sensitivity,N2,10221.295157287252,0.0,56780.47832019224,886.0132221095142,637.84116140841,0.4143196855938405
lateral Y sensitivity,B3,174.84705274400767,0.0,74014.75997887041,1871.3054191201215,14362.022704020597,0.07755739614232367
lateral Y sensitivity,O3,398.42957582196686,0.0,79654.48000327303,3588.217317396802,9091.843377517986,0.20539208197812897
lateral Y sensitivity,S2,0.0,134.5794765967552,55460.92983502294,861.4917743963741,156.59678988890025,0.31632254701320456
lateral Y sensitivity,T1,2863.5081670994086,2209.1052264767495,22636.055239258043,1016.498883836755,861.9162650055679,0.3247554177458548
