id,family,group,section,case,ratio,Nc,Nt,My,Mz,V,T,Pc,Pt,Mmajor,Mminor,Vc,Tc,Lb
M029,T-W:web,T-W,HSS3x3x0.188,strength roof,0.06657508994176757,0.0,2918.779102546137,405.99783500930255,1974.5465920181894,26.70276304772029,380.91122632699734,43270.63467149941,85050.0,73800.0,73800.0,28547.424,42821.136,109.67926865072889
M030,T-W:upper,T-W,HSS6x6x0.25,strength roof,0.10663371622824604,0.0,3545.081306410131,30491.34482526615,8791.076888742244,1137.5817824737999,1459.3114351049048,219980.1932857319,235800.0,428850.0,428850.0,77625.0,232875.0,72
M031,T-W:web,T-W,HSS3x3x0.188,strength roof,0.45638175951706683,9199.025020438354,0.0,714.2417703602349,5587.647683719574,51.91988515684579,618.1977037444195,24795.863756167324,85050.0,73800.0,73800.0,28547.424,42821.136,149.70898154018158
M032,T-W:upper,T-W,HSS6x6x0.25,strength B2@0/8,0.31888319275971977,2171.523720928931,0.0,118819.54473149288,13903.470740769111,3323.069739134722,4935.738391511931,231078.9830892251,235800.0,428850.0,428850.0,77625.0,232875.0,38.854864986058004
M033,T-W:web,T-W,HSS3x3x0.188,strength B2@0/8,0.13174520752085433,0.0,2204.936952876421,637.8683749450329,7171.649314317651,71.07650163376809,480.2168737980054,30727.420986747926,85050.0,73800.0,73800.0,28547.424,42821.136,134.4851777449277
M034,T-W:upper,T-W,HSS6x6x0.25,strength B2@0/8,0.33437301094117045,1404.9512210488942,0.0,127602.29145674172,13238.352051889597,757.0562328044687,1253.1238061038964,235796.8411710201,235800.0,428850.0,428850.0,77625.0,232875.0,1.0
M035,T-W:upper,T-W,HSS6x6x0.25,strength B2@0/8,0.32841953308407573,1399.8545063885483,0.0,125285.30416123722,12885.703859269834,2096.924205529878,1458.307177744052,224697.9977618293,235800.0,428850.0,428850.0,77625.0,232875.0,60.0
M036,T-W:upper,T-W,HSS6x6x0.25,strength B2@0/8,0.11929282167020404,613.2863292340239,0.0,44500.77606174064,5541.832859382284,6946.929798120498,5450.797162271114,235645.26713359376,235800.0,428850.0,428850.0,77625.0,232875.0,7.0
M037,T-W:web,T-W,HSS3x3x0.188,strength roof,0.09321465039318028,496.79220695737814,0.0,2363.770034303709,4082.83959547046,362.0849249706304,213.74881825310976,84744.7747228564,85050.0,73800.0,73800.0,28547.424,42821.136,8.0
M038,T-W:web,T-W,HSS3x3x0.188,strength roof,0.10322578897153281,1134.5105136022585,0.0,1502.365180060093,5072.573855568559,219.35734861021962,114.66104412493839,80265.49155770635,85050.0,73800.0,73800.0,28547.424,42821.136,32.10437373866688
M039,T-W:web,T-W,HSS3x3x0.188,strength roof,0.13461865330323036,1722.6602215214145,0.0,1583.19667213217,6682.038532588261,211.8837207887593,27.962510523779354,76144.40235287273,85050.0,73800.0,73800.0,28547.424,42821.136,44.373066958946424
M040,T-W:web,T-W,HSS3x3x0.188,strength roof,0.2228946715782374,3067.0829512269747,0.0,704.4203788674159,11765.077109922302,190.74710002592343,363.06528847584184,56870.1934625931,85050.0,73800.0,73800.0,28547.424,42821.136,84.6432482349228
M041,T-W:web,T-W,HSS3x3x0.188,strength B2@0/8,0.16026245669573225,0.0,1295.720671510958,2346.090884097515,8356.949371752302,88.70402909669879,115.38938309084726,33516.68034700762,85050.0,73800.0,73800.0,28547.424,42821.136,128.75
M042,T-W:web,T-W,HSS3x3x0.188,strength B2@0/8,0.2524479165122548,0.0,1566.0644444553245,6029.778775003966,11241.964400686824,144.44290177788432,73.71756039954272,33516.68034700762,85050.0,73800.0,73800.0,28547.424,42821.136,128.75
M043,T-W:web,T-W,HSS3x3x0.188,strength B2@0/8,0.37622266802433246,0.0,1764.161930901303,15025.303331726704,11209.122390332448,359.7794423623317,183.7951458402367,33516.68034700762,85050.0,73800.0,73800.0,28547.424,42821.136,128.75
M044,T-W:web,T-W,HSS3x3x0.188,strength B2@0/8,0.5218209814544184,0.0,3162.74582271317,24000.3026663582,11765.69256431671,464.98043156460545,328.12422794751734,33516.68034700762,85050.0,73800.0,73800.0,28547.424,42821.136,128.75
M045,T-W:web,T-W,HSS3x3x0.188,strength B2@0/8,0.6094287341720156,4260.047337189074,0.0,28409.146160293272,7186.544292484568,6857.393634839454,3859.238065723097,33516.68034700762,85050.0,73800.0,73800.0,28547.424,42821.136,128.75
M046,T-W:web,T-W,HSS3x3x0.188,strength B2@0/8,0.30948922122025946,0.0,337.59375827880956,22368.135551503157,179.23047530477095,691.0255818516389,154.68961525447838,69477.8259043237,85050.0,73800.0,73800.0,28547.424,42821.136,60.0
M047,T-E:lower,T-E,HSS6x6x0.25,strength B2@0/8,0.7838374554132232,51.443695703686224,0.0,22294.35422011226,5211.14241494736,6348.449681479169,163490.79838491685,219980.1932857319,235800.0,428850.0,428850.0,77625.0,232875.0,72
M048,T-E:upper,T-E,HSS2.5x2.5x0.125,strength roof,0.16764522467982343,0.0,131.93709114207346,5571.929644899649,349.8124306132072,564.7180003491956,139.03189772730636,40130.2729213371,48150.0,35910.0,35910.0,16031.25,20039.0625,48.20874747733375
M049,T-E:web,T-E,HSS2.5x2.5x0.125,strength roof,0.07207919535130973,0.0,1187.56449559395,1269.4323815527077,433.25258193901914,36.069267915110046,117.06565380491959,38740.29751125435,48150.0,35910.0,35910.0,16031.25,20039.0625,52.66643440704908
M050,T-E:upper,T-E,HSS2.5x2.5x0.125,strength roof,0.20623539076910688,0.0,1234.412794055146,6182.009916204122,303.2848264490797,367.04069560318345,161.53444272319572,45930.18209407141,48150.0,35910.0,35910.0,16031.25,20039.0625,24.537386440559093
M051,T-E:web,T-E,HSS2.5x2.5x0.125,strength roof,0.21021314412558367,3458.953091409547,0.0,3963.5671989484135,466.50134294550134,121.71315574308093,75.72058416710516,39828.00027769196,48150.0,35910.0,35910.0,16031.25,20039.0625,49.19889807041559
M052,T-E:upper,T-E,HSS2.5x2.5x0.125,strength roof,0.548903390155414,1711.448482229724,0.0,17122.814553581728,671.9601988579894,1024.0814373625985,146.1091320522512,32070.46920566206,48150.0,35910.0,35910.0,16031.25,20039.0625,72
M053,T-E:web,T-E,HSS2.5x2.5x0.125,strength T1@8/8,0.708446428379266,12652.46120835871,0.0,830.8044104419473,367.4690382955417,24.51096700598505,80.09028267408227,18742.231401760742,48150.0,35910.0,35910.0,16031.25,20039.0625,109.67926865072889
M054,T-E:upper,T-E,HSS2.5x2.5x0.125,strength roof,0.6640539729147988,9971.591250527308,0.0,12352.679387463808,1141.7837772026262,811.2814276315182,66.15263546331863,34591.35435170896,48150.0,35910.0,35910.0,16031.25,20039.0625,64.9519052838329
M055,T-E:web,T-E,HSS2.5x2.5x0.125,strength T1@8/8,0.12810219768925923,0.0,4130.889916543417,1235.771736261599,283.5836468703104,6.001985945119617,228.21509449783815,13355.89501736505,48150.0,35910.0,35910.0,16031.25,20039.0625,129.92678597590807
M056,T-E:upper,T-E,HSS2.5x2.5x0.125,strength T1@8/8,0.3117129589195082,8653.830846366378,0.0,3713.045510097323,746.9328179008916,197.30589244776021,30.99196557754875,46150.2755356362,48150.0,35910.0,35910.0,16031.25,20039.0625,23.26159824632153
M057,T-E:web,T-E,HSS2.5x2.5x0.125,strength T1@8/8,0.13076987481170388,0.0,3758.8889057450624,1189.130466926732,703.457469538601,20.519389964606745,88.83912979001813,13276.13327901897,48150.0,35910.0,35910.0,16031.25,20039.0625,130.31649536697168
