case,group,Ncomp,Ntension,M,V,T,ratio
strength roof,T-E,10972.790932999238,12097.131131463411,42445.410171007636,4246.277978413939,125242.96946635176,0.5925144536837084
strength roof,T-W,5466.341363652536,4661.834318917556,127054.57207865611,5955.125603696226,97959.15521597191,0.48776285086334475
strength roof,S3,10783.308932389753,0.0,18472.29755622639,310.6118843970438,24.74283701181662,0.25670701539024926
strength roof,T-SO,0.0,22.71176929678768,98619.96861386366,2599.638970718713,61216.87779176693,0.1378007738382827
strength roof,S2,6408.377518225855,0.0,18249.016718186394,360.76687073409005,62.52376495337705,0.20451309680849483
strength roof,W1,3105.5829115892875,0.0,32952.176741229945,395.7535019972267,158.49170587953054,0.2704301987623548
uplift sensitivity,T1,1019.6163675139857,803.9802283127226,16093.967163818972,532.1687124571819,154.2356827398879,0.09310280009492489
uplift sensitivity,N2,1485.214603787192,0.0,4585.931697759548,56.93262959067397,58.43646740951213,0.049237413387150514
uplift sensitivity,B-WO,4.741985578395543,44.90866830491723,4846.100788025565,219.10313754801498,387.12342124006835,0.06586348518794158
uplift sensitivity,S1,68.89434750000007,0.0,0.0,0.0,0.0,0.0007968009835383286
uplift sensitivity,T-N,913.7793408462713,746.1204368797771,8300.75759170585,349.0092246407297,1142.0155415003046,0.05934551124953759
uplift sensitivity,W3,319.09639832783597,0.0,2588.6135923897755,30.06494196317291,64.23490680199355,0.021478960690378857
uplift sensitivity,O2,88.02036486257566,0.0,24592.03672170697,995.2835221492361,254.06650763003472,0.041662518153168536
uplift sensitivity,B3,0.6226054893249966,0.0,15367.252677811259,452.873109690066,828.9470982593974,0.02587507723624683
uplift sensitivity,W2,1115.8076813502944,0.0,7273.06989923082,92.14965247250777,45.13446479686258,0.06416572104445634
uplift sensitivity,N1,1601.241378212773,0.0,577.0659822119596,6.097345445392399,65.74482145786318,0.021934341322469852
uplift sensitivity,O3,20.46260788590189,0.0,1576.3400930734474,76.06601410415823,37.357001502515786,0.05508774672853638
uplift sensitivity,B2,0.0,38.81934733207163,36133.72096219428,824.2825634026543,1123.6192247350027,0.03762051257980526
uplift sensitivity,T-S,378.17584337790055,278.2590346682864,1784.8826988362523,83.06334910701031,35.482876921545994,0.0928706047361264
uplift sensitivity,W4,675.2396283347393,0.0,564.6851164446164,3.273339411051256,43.128022466582905,0.011260271572077363
uplift sensitivity,T-E,636.0312742075574,793.1217759469233,5693.732515814,679.9329644626229,12501.16383864549,0.06244106379831824
uplift sensitivity,T-W,497.68723393416127,625.0606519676685,11818.707506055116,481.9774142510299,13034.212555745664,0.06129304794339788
uplift sensitivity,S3,390.77915285916094,0.0,1359.376428716201,20.42699956860928,6.394563503974632,0.014232876290041874
uplift sensitivity,T-SO,0.6503326013917103,23.51246069787885,15127.149212958817,322.06848035880097,4776.610620233478,0.015768004495613098
uplift sensitivity,S2,476.4055028441527,0.0,1891.569046669148,34.258926904639644,5.220336376249239,0.018317658496758444
uplift sensitivity,W1,346.04070614951485,0.0,2684.835313094297,28.05852536347991,13.899851334850169,0.022478129971463305
lateral X sensitivity,T1,5977.917902790536,3046.933330387737,86998.81668570312,2216.9200113984957,695.4222958107551,0.5371392978551871
lateral X sensitivity,N2,9433.441316236023,0.0,45952.79273022758,790.0837137754224,672.3165231135757,0.4366674703692845
lateral X sensitivity,B-WO,237.36324614481418,107.86078445761814,35269.24453816465,1396.4407569906114,4283.847689924047,0.49326002484595244
lateral X sensitivity,S1,76.5492750000001,0.0,0.0,0.0,0.0,0.0008853344261536987
lateral X sensitivity,T-N,4863.857519481957,4790.708505967632,37373.006698348014,3245.121751818934,10938.808710271034,0.34043013323642035
lateral X sensitivity,W3,1029.604561680924,0.0,24909.152168015324,200.10567734810417,722.0897220110431,0.18989402442621214
lateral X sensitivity,O2,0.0,255.05616142880172,142250.1279308329,4618.693419658795,311.08034138996715,0.24022607585231412
lateral X sensitivity,B3,0.0,14.531795624643564,68486.71484251699,1688.1856229308812,7102.198708714099,0.11534010247783998
lateral X sensitivity,W2,4616.89739467242,0.0,27768.04666526517,201.9945192672854,125.64464477259763,0.2518110077985094
lateral X sensitivity,N1,5108.226881925368,0.0,32740.110823028448,617.7237944330458,592.5556045206512,0.2930209356373008
lateral X sensitivity,O3,0.0,200.75937529094517,8764.265232433805,399.96687858513377,333.13118050877654,0.30758902293357937
