member,end,joint,status,connected_to,gap_in,source_member
T1 vertical 4,end,T1 top / segment 1 @ 0.75,connected,T1 diagonal 8; T1 diagonal 9; T1 top / segment 1,0.0,T1 vertical 4 | HSS1-1/2X1-1/2X1/8
T1 diagonal 6,start,W.clerestory @ 0.308951630769,connected,T1 upper lower chord; W.clerestory,0.0,T1 diagonal 6 | HSS1-1/2X1-1/2X3/16
T1 diagonal 6,end,T1 top / segment 1 @ 0.25,connected,T1 diagonal 7; T1 top / segment 1; T1 vertical 2,0.0,T1 diagonal 6 | HSS1-1/2X1-1/2X3/16
T1 diagonal 7,start,T1 top / segment 1 @ 0.25,connected,T1 diagonal 6; T1 top / segment 1; T1 vertical 2,0.0,T1 diagonal 7 | HSS1-1/2X1-1/2X1/8
T1 diagonal 7,end,T1 upper lower chord @ 0.5,connected,T1 diagonal 8; T1 future hanger 3; T1 upper lower chord; T1 vertical 3,0.0,T1 diagonal 7 | HSS1-1/2X1-1/2X1/8
T1 diagonal 8,start,T1 upper lower chord @ 0.5,connected,T1 diagonal 7; T1 future hanger 3; T1 upper lower chord; T1 vertical 3,0.0,T1 diagonal 8 | HSS1-1/2X1-1/2X1/8
T1 diagonal 8,end,T1 top / segment 1 @ 0.75,connected,T1 diagonal 9; T1 top / segment 1; T1 vertical 4,0.0,T1 diagonal 8 | HSS1-1/2X1-1/2X1/8
T1 diagonal 9,start,T1 top / segment 1 @ 0.75,connected,T1 diagonal 8; T1 top / segment 1; T1 vertical 4,0.0,T1 diagonal 9 | HSS1-1/2X1-1/2X3/16
T1 diagonal 9,end,E.clerestory @ 0.308951630769,connected,E.clerestory; T1 upper lower chord,0.0,T1 diagonal 9 | HSS1-1/2X1-1/2X3/16
T1 future hanger 2,start,T1 future floor beam @ 0.25,connected,T1 future floor beam,0.0,T1 future hanger 2 | HSS1-1/2X1-1/2X1/8
T1 future hanger 2,end,T1 upper lower chord @ 0.25,connected,T1 upper lower chord; T1 vertical 2,0.0,T1 future hanger 2 | HSS1-1/2X1-1/2X1/8
T1 future hanger 3,start,T1 future floor beam @ 0.5,connected,T1 future floor beam,0.0,T1 future hanger 3 | HSS1-1/2X1-1/2X1/8
T1 future hanger 3,end,T1 upper lower chord @ 0.5,connected,T1 diagonal 7; T1 diagonal 8; T1 upper lower chord; T1 vertical 3,0.0,T1 future hanger 3 | HSS1-1/2X1-1/2X1/8
T1 future hanger 4,start,T1 future floor beam @ 0.75,connected,T1 future floor beam,0.0,T1 future hanger 4 | HSS1-1/2X1-1/2X1/8
T1 future hanger 4,end,T1 upper lower chord @ 0.75,connected,T1 upper lower chord; T1 vertical 4,0.0,T1 future hanger 4 | HSS1-1/2X1-1/2X1/8
T-N upper east jamb,start,north.center.bottom,connected,T-N; T-N diagonal 9,0.0,T-N upper east jamb | HSS4X4X3/16
T-N upper east jamb,end,north.center.top,connected,T-N diagonal 8; T-N top / segment 1,0.0,T-N upper east jamb | HSS4X4X3/16
T-N loading header,start,north.door.header.west,connected,T-N diagonal 15; W.W4,0.0,T-N loading header | HSS1-1/2X1-1/2X1/8
T-N loading header,end,north.door.header.center,connected,T-N diagonal 18; T-N upper east jamb,0.0,T-N loading header | HSS1-1/2X1-1/2X1/8
T-N diagonal 8,start,north.center.top,connected,T-N top / segment 1; T-N upper east jamb,0.0,T-N diagonal 8 | HSS2X2X1/8
T-N diagonal 8,end,E.north.bottom,connected,E.W4; E.bottom; N2; T-N,0.0,T-N diagonal 8 | HSS2X2X1/8
T-N vertical 11,start,north.door.web.11.bottom,connected,T-N loading header,0.0,T-N vertical 11 | HSS1-1/2X1-1/2X1/8
T-N vertical 11,end,north.door.web.11.top,connected,T-N diagonal 15; T-N diagonal 16; T-N top / segment 1,0.0,T-N vertical 11 | HSS1-1/2X1-1/2X1/8
T-N vertical 12,start,north.door.web.12.bottom,connected,T-N diagonal 16; T-N diagonal 17; T-N loading header,0.0,T-N vertical 12 | HSS1-1/2X1-1/2X1/8
T-N vertical 12,end,north.door.web.12.top,connected,T-N top / segment 1,0.0,T-N vertical 12 | HSS1-1/2X1-1/2X1/8
T-N vertical 13,start,north.door.web.13.bottom,connected,T-N loading header,0.0,T-N vertical 13 | HSS1-1/2X1-1/2X1/8
T-N vertical 13,end,north.door.web.13.top,connected,T-N diagonal 17; T-N diagonal 18; T-N top / segment 1,0.0,T-N vertical 13 | HSS1-1/2X1-1/2X1/8
T-N diagonal 15,start,north.door.header.west,connected,T-N loading header; W.W4,0.0,T-N diagonal 15 | HSS1-1/2X1-1/2X1/8
T-N diagonal 15,end,north.door.web.11.top,connected,T-N diagonal 16; T-N top / segment 1; T-N vertical 11,0.0,T-N diagonal 15 | HSS1-1/2X1-1/2X1/8
T-N diagonal 16,start,north.door.web.11.top,connected,T-N diagonal 15; T-N top / segment 1; T-N vertical 11,0.0,T-N diagonal 16 | HSS1-1/2X1-1/2X1/8
T-N diagonal 16,end,north.door.web.12.bottom,connected,T-N diagonal 17; T-N loading header; T-N vertical 12,0.0,T-N diagonal 16 | HSS1-1/2X1-1/2X1/8
T-N diagonal 17,start,north.door.web.12.bottom,connected,T-N diagonal 16; T-N loading header; T-N vertical 12,0.0,T-N diagonal 17 | HSS1-1/2X1-1/2X1/8
T-N diagonal 17,end,north.door.web.13.top,connected,T-N diagonal 18; T-N top / segment 1; T-N vertical 13,0.0,T-N diagonal 17 | HSS1-1/2X1-1/2X1/8
T-N diagonal 18,start,north.door.web.13.top,connected,T-N diagonal 17; T-N top / segment 1; T-N vertical 13,0.0,T-N diagonal 18 | HSS1-1/2X1-1/2X1/8
T-N diagonal 18,end,north.door.header.center,connected,T-N loading header; T-N upper east jamb,0.0,T-N diagonal 18 | HSS1-1/2X1-1/2X1/8
BR-W-1,start,W.W3 @ 0.0262295081967,connected,W.W3,0.0,BR-W-1 | HSS1-1/2X1-1/2X1/8
BR-W-1,end,W.W4 @ 0.502732240437,connected,BR-N-ground-2; T-N; W.W4; W.bottom,0.0,BR-W-1 | HSS1-1/2X1-1/2X1/8
BR-W-2,start,W.W4 @ 0.0262295081967,connected,BR-N-ground-1; W.W4,0.0,BR-W-2 | HSS1-1/2X1-1/2X1/8
BR-W-2,end,W.W3 @ 0.502732240437,connected,W.W3; W.bottom; W.rear.brace; W.square.brace,0.0,BR-W-2 | HSS1-1/2X1-1/2X1/8
BR-S-1,start,S1 @ 0.051724137931,connected,S1,0.0,BR-S-1 | HSS1-1/2X1-1/2X1/8
BR-S-1,end,S2 @ 0.991379310345,connected,E.SW0; E.bottom; S2,0.0,BR-S-1 | HSS1-1/2X1-1/2X1/8
BR-S-2,start,S2 @ 0.051724137931,connected,S2,0.0,BR-S-2 | HSS1-1/2X1-1/2X1/8
BR-S-2,end,S1 @ 0.991379310345,connected,S1,0.0,BR-S-2 | HSS1-1/2X1-1/2X1/8
BR-N-ground-1,start,W.W4 @ 0.0262295081967,connected,BR-W-2; W.W4,0.0,BR-N-ground-1 | HSS2X2X1/8
BR-N-ground-1,end,N1 / U-W @ 0.512820512821,connected,N1 / U-W; T-N,0.0,BR-N-ground-1 | HSS2X2X1/8
