member,truss,role,section,section_key,length_ft,weight_lb,utilization,stage,case,compression_lb,tension_lb,My_lb_in,Mz_lb_in,web_pinned_utilization,base_pinned_utilization
T-W / B-WO,TW,chord,HSS3-1/2X3-1/2X3/16,HSS3.5x3.5x0.1875,26.333333333333332,214.61666666666667,0.7940755670728641,PDelta,strength_HT0.25,3865.06096295287,2948.996926049571,6554.852210005595,39681.415133368646,0.7926298886711061,0.7728527316103599
T-E,TE,chord,HSS3X3X1/4,HSS3x3x0.25,26.333333333333332,231.99666666666667,0.6972752423131372,PDelta,strength_HB0.75,0,8781.912376187742,2761.4929403470696,11444.211945969833,0.6898865708162542,0.6812710144872485
T-N,TN,chord,HSS3X3X1/8,HSS3x3x0.125,23.458333333333332,111.42708333333333,0.6845600730673733,complete,strength_HB0.5,0,1734.055971870428,1961.0768510463038,28448.61928542607,0.6780624085791177,0.6676659308363022
T1 upper lower chord,T1,chord,HSS1-1/2X1-1/2X3/16,HSS1.5x1.5x0.188,21.354166666666668,64.91666666666667,0.9035776792214009,PDelta,strength_HT0.75,305.7640782149974,6447.240719787696,85.77239503351946,4853.622285198332,0.8858466506785507,0.9066962838525621
T1 future floor beam,T1,future,W6X8.5,W6X8.5,21.354166666666668,181.51041666666669,0.17494445885431448,PDelta,strength_HT0.75,0,433.08487062821223,1388.4986394897953,22583.428887187434,0.19012057954480005,0.1604009677076391
B2 future floor beam,columns/beams,future,W8X24,W8X24,21.354166666666668,512.5,0.49777208391922806,PDelta,strength_HB0.5,0,138.25995168834925,1030.686259242097,463920.3336575097,0.504856096624315,0.5214832825974706
N1 / U-W,columns/beams,column,HSS6X6X1/4,HSS6x6x0.25,19.292728302571778,366.94769231491523,0.30874940268454015,PDelta,strength_lateral_HX_2,17198.30694366172,0,6143.26372724595,36196.003995909814,0.3120519272572774,0.31135188069670044
T-S vertical 2,TS,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,2.822755579912202,6.2100622758068456,0.012261540788885073,roof_first,strength_lateral_HX_-2,0,4.670872737167883,28.550180232227355,100.54144302587034,0.003269339189567594,0.011185744162121897
T-S vertical 3,TS,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,2.822755579912202,6.2100622758068456,0.006266723060436884,PDelta,strength_lateral_HX_-2,15.55242785281007,0,9.948680760378684,38.67253095697205,0.0020843028051295877,0.0062310346735929
T-S vertical 4,TS,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,2.822755579912202,6.2100622758068456,0.004473935753337266,PDelta,strength_lateral_HX_-2,0,15.927635899373854,0.5193589651176455,34.56318448147303,0.0036085681537701177,0.0040357982603959185
T-S vertical 5,TS,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,2.822755579912202,6.2100622758068456,0.005342402235670764,PDelta,strength_lateral_HX_2,14.8503886326871,0,10.375712703258865,36.91739482569612,0.0019379547999802925,0.00513769042859513
T-S vertical 6,TS,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,2.822755579912202,6.2100622758068456,0.009575043874056709,roof_first,strength_lateral_HX_2,0,9.559903908375418,24.400364688385523,70.97072580959711,0.0034548466893801317,0.008456032922690853
T-S diagonal 8,TS,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,4.722932629204189,10.390451784249217,0.08755160586556598,roof_first,strength_lateral_HX_-2,558.0286982483813,0,120.60566658223891,286.75149841524325,0.05194212283388345,0.08059049395499267
T-S diagonal 9,TS,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,4.784591881430793,10.526102139147746,0.03811728545254336,PDelta,strength_lateral_HX_2,290.8262528467603,0,87.68947698274721,44.1338254867919,0.02790093565834625,0.03614959282992754
T-S diagonal 10,TS,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,4.784591881430793,10.526102139147746,0.04666440813424107,roof_first,strength_lateral_HX_-2,447.463117682928,0,58.3677599404313,47.23605552755934,0.03995556237030143,0.04182873470487004
T-S diagonal 11,TS,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,4.784591881430793,10.526102139147746,0.04197709775143372,PDelta,strength_lateral_HX_2,416.06739458738593,0,43.05113246933311,39.13449311686858,0.03745804770955991,0.0368642365308171
T-S diagonal 12,TS,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,4.784591881430791,10.526102139147742,0.04147230735652563,roof_first,strength_lateral_HX_-2,321.4745028122561,0,87.71535060280084,44.49251567172005,0.030326075354167245,0.04024459854880186
T-S diagonal 13,TS,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,4.722932629204194,10.390451784249228,0.0754985192277123,roof_first,strength_lateral_HX_2,521.6827560103993,0,126.10150618686488,191.20902405976474,0.04979725429613217,0.07015593339434095
T1 vertical 2,T1,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,3.2500000195768997,7.15000004306918,0.17540990058294997,PDelta,strength_HT0.25,0,3643.1389430449926,70.36260841223611,386.99288637402117,0.13671676698745636,0.1714270000207221
T1 vertical 3,T1,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,3.2500000195768997,7.15000004306918,0.03275464951911174,PDelta,strength_lateral_HX_2,30.362827857097727,0,23.268339017451872,294.6606437473692,0.005007934571752993,0.03458748187114295
T1 vertical 4,T1,vertical,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,3.2500000195768997,7.15000004306918,0.18138415244230294,PDelta,strength_HT0.75,0,4180.928390205052,53.95232381641257,244.01052827429305,0.16285750188866038,0.18130424890172883
